course_id,course_code,course_title,course_credits,course_grade,course_gpa,course_points,CGPA,comments
19757,CMPS244,WEB APPLICATION DEV. 1,3,C+,2.5,7.5,2.81,REPEAT
19779,CMPS213,BASIC PC REPAIR,3,C+,2.5,7.5,2.81,
19801,ENGL318,TECHNICAL WRITING.,3,C,2,6,2.81,REPEAT
19823,CMPS4991,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,3,C+,2.5,7.5,2.81,
19845,ENGL3155,TECHNICAL WRITING,3,F,0,0,2.81,REPEAT
19867,CMPS411,COMPUTER NETWORK SECURITY,3,D,1,3,2.81,REPEAT
19889,MATH322,LINEAR ALGEBRA 1,3,WF,0,0,3.45,REPEAT
19911,CMPS317,ADVANCED GUI DEVELOPMENT,3,D,1,3,3.45,REPEAT
19933,CMPS4151,NETWORK ENGINEERING,3,C,2,6,3.45,
19955,CMPS4151,NETWORK ENGINEERING,3,B+,3.5,10.5,3.45,
19977,CMPS4175,ROUTING AND SWITCHING,3,A,4,12,3.45,
19999,SPAN2015,LEVEL 3 INTERMEDIATE SPANISH,3,P,0,0,3.45,
20021,CMPS3252,ALGORITHMS,3,,,,3.45,
20043,MATH3251,CALCULUS III,3,WP,0,0,3.45,REPEAT
20065,CMPS3141,HUMAN COMPUTER INTERFACE,3,C,2,6,3.45,
20087,CMPS4232,SYSTEMS ADMINISTRATION,3,B+,3.5,10.5,3.45,
20109,PLAS0014,SPANISH PLACEMENT EXAM,0,A,0,0,3.45,
20131,RSCH2014,RESEARCH METHODS,3,W,0,0,3.45,
20153,CMPS318,ADVANCED PC REPAIR,3,WF,0,0,3.45,
20175,CMPS3111,PROGRAMMING LANGUAGES,3,RE,0,0,3.45,REPEAT
20197,MATH3251,CALCULUS III,3,W,0,0,3.45,REPEAT
20219,RSCH2014,RESEARCH METHODS,3,W,0,0,3.45,REPEAT
20241,CMPS4191,ADVANCED WEB TECHNOLOGIES,3,A,4,12,3.45,
20263,MAT103,TRIGONOMETRY 1,3,WP,0,0,2.88,REPEAT
20285,CMPS422,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,3,F,0,0,2.88,REPEAT
20307,SPAN101,LEVEL 1 BEGINNING SPANISH,3,B,3,9,3.61,
20329,MATH441,NUMERICAL ANALYSIS,4,WP,0,0,3.61,REPEAT
20351,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,F,0,0,3.61,
20373,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,D,1,3,3.61,REPEAT
20395,MATH104,CALCULUS I,3,B+,3.5,10.5,3.61,
20417,CMPS315,NETWORK ENGINEERING,3,D,1,3,3.61,REPEAT
20439,CMPS140,INTRODUCTION TO COMPUTER STUDIES,3,WF,0,0,3.61,REPEAT
20461,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,WF,0,0,3.61,REPEAT
20483,GSTU101,STUDY SKILLS,1,D,1,1,3.61,
20505,CMPS314,ALGORITHMS,3,D+,1.5,4.5,3.61,
20527,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,WF,0,0,3.61,
20549,MATH101,ALGEBRA 1,3,C,2,6,3.61,
20571,CMPS413,ADVANCED WEB TECHNOLOGIES,3,D+,1.5,4.5,3.61,
20593,MAT103,TRIGONOMETRY 1,3,W,0,0,3.61,REPEAT
20615,CMCN209,COMMUNICATION SKILLS,3,WF,0,0,3.61,REPEAT
20637,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,D,0,0,3.61,REPEAT
20659,CMPS321,TELECOMMUNICATIONS SYSTEMS,3,WF,0,0,3.61,
20681,MATH1302,CALCULUS I,3,F,0,0,3.61,REPEAT
20703,MATH1201,TRIGONOMETRY,3,A-,3.75,11.25,3.61,
20725,CMPS414,NETWORKING II,3,WF,0,0,3.61,
20747,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3,W,0,0,3.61,REPEAT
20769,CMPS413,ADVANCED WEB TECHNOLOGIES,3,D+,1.5,4.5,3.14,REPEAT
20791,CMPS4231,DIGITAL LOGIC & SIGNAL PROCESSING,3,F,0,0,3.14,REPEAT
20813,MATH1302,CALCULUS I,3,A-,3.75,11.25,3.14,
20835,MAT103,TRIGONOMETRY 1,3,F,0,0,3.14,REPEAT
20857,MATH3251,CALCULUS III,3,A,4,12,3.14,
20879,CMPS4191,ADVANCED WEB TECHNOLOGIES,3,C+,2.5,7.5,3.14,
20901,CMPS4232,SYSTEMS ADMINISTRATION,3,A-,3.75,11.25,3.14,
20923,ENGL1035,THE COMPOSING PROCESS,3,C+,2.5,7.5,3.14,
20945,RSCH2014,RESEARCH METHODS,3,C+,2.5,7.5,3.14,
20967,CMPS4131,SOFTWARE ENGINEERING,3,F,0,0,3.14,REPEAT
20989,PSYC221,INTRO TO PSYCHOLOGY,3,C+,2.5,7.5,3.14,
21011,MATH101,ALGEBRA 1,3,W,0,0,3.14,
21033,CMPS142,PRINCIPLES OF PROGRAMMING I,3,W,0,0,3.14,
21055,HIST201,BELIZEAN HISTORY,3,C+,2.5,7.5,3.14,
21077,SPAN112,SPANISH II,3,D,1,3,3.14,
21099,SOCL221,INTRODUCTION TO SOCIOLOGY,3,D,1,3,3.14,
21121,HIST1014,INTRODUCTION TO BELIZEAN HISTORY,3,C,2,6,3.14,
21143,CMPS4992,PROFESSIONAL PRACTICE,12,C+,2.5,30,3.14,
21165,MATH102,COMPLEX NUMBERS & VECTORS,3,B,3,9,3.14,
21187,MATH208,INTRO TO DISCRETE MATHEMATICS,3,C+,2.5,7.5,3.14,
21209,MATH207,STATISTICS,3,C+,2.5,7.5,3.14,
21231,PHYS241L,GENERAL PHYSICS LAB,0,F,0,0,3.14,
21253,MATH322,LINEAR ALGEBRA 1,3,WP,0,0,3.14,REPEAT
21275,CMPS144,PRINCIPLES OF PROGRAMMING II,3,C+,2.5,7.5,3.14,
21297,PHYS241,GENERAL PHYSICS I,2,A-,3.75,7.5,3.14,
21319,CMPS411,COMPUTER NETWORK SECURITY,3,A-,3.75,11.25,3.14,
21341,CMPS4231,DIGITAL LOGIC & SIGNAL PROCESSING,3,A-,3.75,11.25,3.14,
21363,CMPS4251,COMPUTER AND NETWORK SECURITY,3,A-,3.75,11.25,3.14,
21385,NRMP1014,ENVIRONMENTAL CONSERVATION & DEVELOPMENT,3,B+,3.5,10.5,3.14,
21407,MATH2201,CALCULUS II,3,B+,3.5,10.5,3.14,
21429,CMPS4191,ADVANCED WEB TECHNOLOGIES,3,F,0,0,3.14,
21451,CMPS3012,MANAGEMENT INFORMATION SYSTEM,3,D+,1.5,4.5,3,REPEAT
21473,ENGL2105,COMMUNICATION SKILLS,3,C,2,6,3,
